City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Hammond,US,41.5834,-87.5,83.14,67,1,6.91,clear sky
279,Husavik,IS,66.0449,-17.3389,58.91,81,73,6.04,broken clouds
280,Pitimbu,BR,-7.4706,-34.8086,72.19,80,1,15.26,clear sky
281,Havelock,US,34.8791,-76.9013,78.78,77,0,6.51,clear sky
282,Lata,PT,40.1629,-8.3327,60.82,98,29,2.57,scattered clouds
283,Kosh-Agach,RU,50.0,88.6667,62.17,59,64,2.28,broken clouds
284,Atasu,KZ,48.6814,71.6433,78.21,40,0,5.77,clear sky
285,Garowe,SO,8.4054,48.4845,73.47,67,89,31.16,overcast clouds
286,Khandyga,RU,62.6667,135.6,63.5,88,100,9.8,overcast clouds
287,Acari,PE,-15.4311,-74.6158,65.48,74,55,1.14,broken clouds
288,Haines Junction,CA,60.7522,-137.5108,67.95,40,28,12.66,scattered clouds
289,Teguise,ES,29.0605,-13.564,68.22,83,0,24.16,clear sky
290,Sabang,ID,5.8933,95.3214,83.61,77,100,20.69,overcast clouds
291,Alihe,CN,50.5667,123.7167,79.97,54,91,6.38,overcast clouds
292,Sibolga,ID,1.7427,98.7792,82.63,67,87,1.21,overcast clouds
293,Hambantota,LK,6.1241,81.1185,79.14,89,75,12.66,broken clouds
294,Cervo,ES,43.6702,-7.4101,63.97,77,59,10.49,broken clouds
295,Ferkessedougou,CI,9.6,-5.2,72.21,90,100,5.37,overcast clouds
296,Pacific Grove,US,36.6177,-121.9166,82.26,83,75,1.99,broken clouds
297,Atar,MR,20.5169,-13.0499,85.55,25,6,5.39,clear sky
298,Caorle,IT,45.5966,12.8758,75.61,82,58,6.96,broken clouds
299,Tarakan,ID,3.3,117.6333,85.5,70,20,4.61,few clouds
300,Portland,US,45.5234,-122.6762,86.58,39,20,3.0,few clouds
301,Kindu,CD,-2.95,25.95,78.42,36,100,1.61,overcast clouds
302,Kahului,US,20.8947,-156.47,84.97,73,40,28.77,scattered clouds
303,Acarau,BR,-2.8856,-40.12,78.87,78,33,15.37,scattered clouds
304,Brigantine,US,39.4101,-74.3646,76.01,77,1,6.44,clear sky
305,Mbanza-Ngungu,CD,-5.25,14.8667,62.76,79,53,4.23,broken clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,93,91,6.8,overcast clouds
