City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Boyolangu,ID,79.74,few clouds,-8.1181,111.8935,Yos ega cv
173,Voh,NC,82.72,clear sky,-20.9667,164.7,Le gîte du Koniambo
174,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
175,Buchanan,LR,75.99,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
177,Carutapera,BR,74.71,clear sky,-1.195,-46.02,Lidera
179,Tobol,KZ,70.3,overcast clouds,52.6844,62.5794,Tobol Gostinitsa
182,Carstairs,CA,79.05,few clouds,51.5668,-114.102,Carstairs Campground
183,Jalu,LY,78.19,clear sky,29.0331,21.5482,صاحبة الفخامة
184,Manicore,BR,76.95,broken clouds,-5.8092,-61.3003,Hotel Durval
188,Dakar,SN,74.28,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
189,Portobelo,PA,79.86,overcast clouds,9.55,-79.65,Scuba Portobelo
193,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
194,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
198,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
199,Westport,US,75.85,broken clouds,41.1415,-73.3579,The Westport Inn
200,Hovd,MN,74.16,clear sky,48.0056,91.6419,Hotel Khovd
205,Makakilo City,US,82.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
206,Sao Filipe,CV,73.99,few clouds,14.8961,-24.4956,Hotel Xaguate
207,College,US,75.52,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
209,Macon,US,80.46,clear sky,39.8667,-88.9668,Haworth Cottage
212,Astoria,US,79.75,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
217,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
218,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
219,Guerrero Negro,MX,71.71,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
225,Bethel,US,71.94,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
228,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
231,Vrangel,RU,79.66,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
234,Charters Towers,AU,76.69,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
237,Bud,US,78.82,few clouds,39.447,-86.1758,Ted McQuinn Trust
240,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
241,Port-Gentil,GA,74.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
242,Clifton,US,75.63,clear sky,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
244,Aksu,CN,82.11,clear sky,41.1231,80.2644,Pudong Holiday Hotel
247,Kalemie,CD,73.17,clear sky,-5.9475,29.1947,Mahobilali
248,Kieta,PG,84.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
251,Quelimane,MZ,71.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
253,Cockburn Town,TC,81.75,few clouds,21.4612,-71.1419,Osprey Beach Hotel
256,Pakokku,MM,84.61,broken clouds,21.3333,95.1,Royal Palace Motel
257,Kandrian,PG,83.68,moderate rain,-6.2167,149.55,Kandrian Station
258,Terekli-Mekteb,RU,73.2,broken clouds,44.1671,45.8698,"Gostevoy Dvor ""U Gul'zary"""
259,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
260,Gladstone,AU,76.93,scattered clouds,-23.85,151.25,Highpoint International
276,Palm Coast,US,78.78,broken clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
277,Kulhudhuffushi,MV,81.36,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
278,Hammond,US,83.14,clear sky,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
280,Pitimbu,BR,72.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
281,Havelock,US,78.78,clear sky,34.8791,-76.9013,Sherwood Motel
